building_id,building_id_inf,contributor,publication,region,country,city,lat,lon,climate,building_type,cooling_type,year,records,has_age,has_ec,has_timestamp,timezone,met_source,isd_station,isd_distance,database
1,no,David Rowe,NA,oceania,australia,sydney,-33.8688197,151.2092955,humid subtropical,office,mixed mode,1995,170,no,no,yes,Australia/Sydney,rp884,947680-99999,2264,1
2,no,David Rowe,NA,oceania,australia,sydney,-33.8688197,151.2092955,humid subtropical,office,air conditioned,1996,83,no,no,yes,Australia/Sydney,rp884,947680-99999,2264,1
3,no,Fred Baumann,NA,americas,usa,grand rapids,42.9633599,-85.6680863,humid midlatitude,office,air conditioned,1992,85,no,no,yes,America/Detroit,rp884,726350-94860,14896,1
4,no,David Rowe,NA,oceania,australia,sydney,-33.8688197,151.2092955,humid subtropical,office,mixed mode,1995,137,no,no,yes,Australia/Sydney,NA,947680-99999,2264,1
5,no,Gail Brager,"Benton, C. C. & Brager, G. S. Advanced Customer Technology Test (ACT2) Verifone Progress Report.",americas,usa,auburn,32.6098566,-85.4807825,mediterranean,office,air conditioned,1993,128,no,no,yes,America/Chicago,rp884,722288-99999,2110,1
6,no,Gail Brager,"Benton, C. C. and Brager, G. S. (1994) Sunset Building: Final Report; A study of occupant thermal comfort in support of PG&E's advanced customer technology test (ACT2) for Maximum Energy Efficiency.",americas,usa,san ramon,37.7643595,-121.9539616,mediterranean,office,air conditioned,1993,96,no,no,yes,America/Los_Angeles,rp884,724935-99999,17989,1
7,no,Gail Brager,"Benton, C. C. and Brager, G. S. (1994) Sunset Building: Final Report; A study of occupant thermal comfort in support of PG&E's advanced customer technology test (ACT2) for Maximum Energy Efficiency.",americas,usa,san ramon,37.7643595,-121.9539616,mediterranean,office,air conditioned,1991,152,no,no,yes,America/Los_Angeles,rp884,724927-99999,14026,1
8,no,Gail Brager,"Benton, C. C. and Brager, G. S. (1994) Sunset Building: Final Report; A study of occupant thermal comfort in support of PG&E's advanced customer technology test (ACT2) for Maximum Energy Efficiency.",americas,usa,san ramon,37.7643595,-121.9539616,mediterranean,office,air conditioned,1992,133,no,no,yes,America/Los_Angeles,rp884,724935-99999,17989,1
9,no,Gail Brager,"Benton, C. et al. Advanced Customer Technology Test (ACT2) CSAA Progress Report.",americas,usa,antioch,38.0049214,-121.805789,mediterranean,office,air conditioned,1995,111,no,no,yes,America/Los_Angeles,rp884,NA,NA,1
10,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1992,17,no,no,yes,Europe/London,rp884,036130-99999,7906,1
11,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1992,15,no,no,yes,Europe/London,rp884,036130-99999,7906,1
12,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1992,32,no,no,yes,Europe/London,rp884,036130-99999,7906,1
13,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1993,16,no,no,yes,Europe/London,rp884,NA,NA,1
14,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1992,16,no,no,yes,Europe/London,rp884,036130-99999,7906,1
15,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1993,6,no,no,yes,Europe/London,rp884,NA,NA,1
16,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1993,9,no,no,yes,Europe/London,rp884,NA,NA,1
17,no,Jill Brown,"Brown, J. C. (1995). Thermal Comfort Studies in Modern Industrial Buildings, Ph.D. Thesis, University of Wales, Cardiff.",europe,uk,south wales,51.6858341,-3.3821421,west coast marine,office,air conditioned,1993,7,no,no,yes,Europe/London,rp884,NA,NA,1
18,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,31,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
19,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,15,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
20,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,10,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
21,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,17,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
22,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,80,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
23,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,53,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
24,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,35,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
25,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,17,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
26,no,Richard de Dear,"Cena, K., & de Dear, R. J. (1999). Field study of occupant comfort and office thermal environments in a hot, arid climate. ASHRAE Transactions, 105.",oceania,australia,kalgoorlie,-30.749,121.466,hot arid,office,air conditioned,1997,17,yes,no,yes,Australia/Perth,rp884,946370-99999,4469,1
